,x,y
0,0.07015888,-0.17706734
1,0.07010298,-0.17712142
2,0.06989834,-0.17712334
3,0.069820575,-0.17786326
4,0.070143566,-0.17714694
5,0.07016771,-0.17717178
6,0.070158295,-0.17706697
7,0.07016769,-0.17717135
8,0.07021256,-0.17706367
9,0.07015987,-0.1770931
10,0.07015991,-0.17700204
11,0.07015989,-0.17709306
12,0.070050605,-0.17714965
13,0.07021284,-0.17711076
14,0.07015991,-0.17700204
15,0.07016773,-0.17717178
16,0.07016774,-0.1771715
17,0.07003187,-0.17711096
18,0.07016834,-0.17712338
19,0.07015903,-0.17707187
20,0.0701678,-0.17714897
21,0.070166945,-0.17707531
22,0.06990038,-0.17712313
23,0.07021284,-0.17710966
24,0.070046656,-0.17711163
25,0.070212804,-0.17709611
26,0.07016771,-0.17717174
27,0.07003904,-0.17711076
28,0.06990038,-0.17712313
29,0.07016773,-0.17717168
30,0.07016774,-0.17717187
31,0.07016774,-0.17717177
32,0.0701677,-0.17715178
33,0.070161656,-0.17711258
34,0.06991164,-0.17778812
35,0.07016772,-0.17717174
36,0.06990253,-0.17709553
37,0.07016773,-0.17717183
38,0.06990425,-0.17711262
39,0.07014206,-0.1778587
40,0.07016775,-0.17717184
41,0.07016778,-0.17717145
42,0.07021279,-0.1771106
43,0.070167646,-0.17715143
44,0.06990075,-0.17712325
45,0.07016778,-0.17717136
46,0.07015888,-0.17706734
47,0.069767244,-0.1771258
48,0.069902726,-0.17711286
49,0.07018614,-0.17707126
50,0.070068255,-0.17715684
51,0.0698995,-0.17712337
52,0.06991068,-0.17779128
53,0.07015901,-0.17706884
54,0.07015987,-0.17709313
55,0.070167705,-0.17717132
56,0.07016761,-0.17715165
57,0.06989902,-0.17712371
58,0.07015921,-0.17709315
59,0.07016775,-0.17714897
60,0.07016647,-0.17706557
61,0.0701677,-0.17717166
62,0.07016771,-0.17714895
63,0.07021018,-0.17722328
64,0.070167586,-0.17715123
65,0.07016654,-0.17706574
66,0.070167795,-0.17714898
67,0.07021281,-0.17709616
68,0.070166506,-0.17706557
69,0.070230655,-0.17725578
70,0.0701677,-0.17717156
71,0.07017453,-0.17717609
72,0.0702064,-0.17709966
73,0.07016841,-0.17712335
74,0.07016647,-0.17706554
75,0.07021256,-0.17706364
76,0.07016696,-0.17707519
77,0.070166476,-0.17706552
78,0.07016778,-0.17717153
79,0.07019636,-0.1772233
80,0.070212826,-0.17709614
81,0.07016645,-0.17706561
82,0.07016645,-0.1770656
83,0.070161596,-0.1771126
84,0.07016782,-0.17714903
85,0.07016842,-0.17712332
86,-0.3782974,-0.21258362
87,-1.0690187,0.73277694
88,1.3105471,0.25702107
89,0.5949267,-1.2692004
90,1.0176034,-0.04301225
91,1.4807273,-0.034265906
92,0.3570954,0.10454776
93,-1.6976733,-0.50141674
94,1.8029432,0.14871728
95,-0.7249547,0.8280514
96,0.88856536,-0.940854
97,-0.17305528,-0.62291014
98,-1.4261489,0.18085185
99,-0.009843621,-0.19358638
100,0.71060306,-1.8035625
101,-0.2186579,1.4878899
102,0.32635272,0.11802857
103,0.319322,0.11980929
104,0.06634306,-1.7985493
105,-0.40797034,1.4623524
106,-0.19811276,-1.2242792
107,1.0352374,-0.7787088
108,1.021922,-0.8060894
109,-0.7060967,-1.7319677
110,1.7828305,-0.3480349
111,1.0354401,-0.033856563
112,-1.5123422,-0.98478407
113,1.0037115,-1.6395698
114,1.6358647,-0.94407785
115,-1.6607984,0.08424604
116,0.6128176,-0.30961862
117,-1.4924724,0.66219735
118,0.5455451,0.25409955
119,-0.3177295,1.4754684
120,0.3969361,-0.5485516
121,0.3900818,-0.5484152
122,0.070167065,-0.17710714
123,0.52687025,0.27111107
124,1.0308396,-0.75873226
125,-0.45928982,-0.67790514
126,0.25568795,-1.8855596
127,-0.9184998,-0.053952187
128,1.2958539,0.2890578
129,-1.1373817,0.6856295
130,-0.42565563,0.3165442
131,0.49168664,-0.33901706
132,-0.2005609,-1.227711
133,0.2642884,-1.8872819
134,0.84996426,-1.7378306
135,-0.027665522,0.8627155
136,-1.0473307,1.168581
137,1.3142017,-0.5899066
138,0.15187573,-1.7249558
139,-0.9115687,-0.07580553
140,0.026116652,-0.23041047
141,1.8196932,0.020694105
142,0.6217654,1.4566642
143,-1.6176518,-0.14910541
144,0.18050978,0.12689178
145,0.33821034,-0.5784798
146,-0.39310542,-0.11656738
147,1.175298,-0.48155892
148,1.2031544,1.1995543
149,0.8185851,1.334852
150,-0.61039835,0.28591314
151,0.50673735,-0.2850759
152,-0.07399703,-0.549703
153,-1.2506387,-0.66306573
154,-1.2681518,-1.2877878
155,0.2460603,0.72986937
156,-0.7712263,-0.8087242
157,1.5909343,-1.0124669
158,0.40497717,-0.5460393
159,-0.9344733,-0.08380151
160,0.6881907,-0.43171474
161,-0.39350736,-0.09749593
162,-0.5435477,-1.2247725
163,0.02716552,-0.2328432
164,0.9682708,0.6419818
165,-0.0036437307,-0.23078385
166,-0.93539494,-0.16010119
167,-1.4304407,0.7697742
168,-0.6102373,0.2885803
169,1.7773651,0.3487264
170,-0.8368157,-0.48174024
171,1.5217532,-0.09094049
172,0.28002104,-0.58084846
173,0.63764507,-1.4570186
174,0.61640173,1.4593207
175,1.4383874,0.06596105
176,-1.0669959,0.016377676
177,0.14508826,-0.6070253
178,-0.39262185,0.27353355
179,0.7961064,1.3526986
180,-1.1437987,-1.4199836
181,-0.2614128,1.469818
182,1.1606343,-1.5762571
183,0.36391765,-0.55690163
184,1.0991713,-0.73245585
185,0.3128608,-0.22082312
186,-1.1365844,0.030766055
187,1.2469124,1.1546383
188,0.31374422,0.13064612
189,1.1806264,-0.4665708
190,-0.030134458,0.67815965
191,-0.2211038,0.17982252
192,0.9948191,-0.8362741
193,-0.71027714,0.83672005
194,-0.20429544,-1.8769748
195,-0.40421548,0.2746033
196,0.5559783,-0.26979962
197,0.4525369,-0.53333277
198,0.17834634,0.1375132
199,0.5509136,0.25332204
200,1.2377548,0.32482263
201,0.2778759,1.507993
202,-0.7298804,0.82119447
203,-0.88568795,-1.6274
204,0.19066744,-0.19504637
205,-1.1340322,0.6279052
206,-0.12229774,-0.7485174
